deep_score,deep_class,micro_score_anger,micro_score_disgust,micro_score_fear,micro_score_happiness,micro_score_sadness,micro_score_surprise,micro_class,fusion_label
0.6582,0,0.1177159994840622,0.0487129986286163,0.7219470143318176,0.0147789996117353,0.0165020003914833,0.0803430005908012,2,LIVE
0.7315,0,0.1219559982419014,0.0390859991312027,0.0320309996604919,0.6777080297470093,0.0153550002723932,0.1138639971613884,3,LIVE
0.5631,0,0.9446759819984436,0.0099120000377297,0.0110600003972649,0.0226370003074407,0.007141999900341,0.0045750001445412,0,LIVE
0.8145,0,0.0154750002548098,0.0067460001446306,0.8716470003128052,0.0162930004298686,0.0046560000628232,0.0851830020546913,2,LIVE
0.7451,0,0.9773560166358948,0.0013569999719038,0.0052769999019801,0.0113580003380775,0.0016969999996945,0.0029559999238699,0,LIVE
0.7917,0,0.986702024936676,0.0013030000263825,0.00299399998039,0.0060100001282989,0.0012949999654665,0.00169599999208,0,LIVE
0.754,0,0.9778199791908264,0.0013419999741017,0.0038890000432729,0.013829999603331,0.0015320000238716,0.0015869999770075,0,LIVE
0.8536,0,0.8829230070114136,0.0291130002588033,0.026410000398755,0.0237600002437829,0.019752999767661,0.0180409997701644,0,LIVE
0.7057,0,0.9920259714126588,0.0025450000539422,0.0010580000234767,0.0032140000257641,0.000555999984499,0.0006009999779053,0,LIVE
0.7766,0,0.9790210127830504,0.0024520000442862,0.0089180003851652,0.0046529998071491,0.002371999900788,0.0025839998852461,0,LIVE
0.7173,0,0.4119659960269928,0.109094999730587,0.1024489998817443,0.1373530030250549,0.0755980014801025,0.1635390073060989,0,LIVE
